Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
4,,2019-10-30,23-280,MIN,@,PHI,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2019-11-02,23-283,MIN,@,WAS,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2019-11-04,23-285,MIN,,MIL,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2019-11-06,23-287,MIN,@,MEM,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2019-11-08,23-289,MIN,,GSW,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2019-11-10,23-291,MIN,,DEN,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2019-11-11,23-292,MIN,@,DET,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2019-11-13,23-294,MIN,,SAS,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,1,2019-11-15,23-296,MIN,,WAS,L (-21),0,4:44,0,0,,0,0,,0,0,,1,0,1,0,0,1,0,1,0,1.0,-6
13,2,2019-11-16,23-297,MIN,,HOU,L (-20),0,16:18,1,3,.333,1,3,.333,2,2,1.000,0,2,2,0,1,1,1,2,5,3.8,-10
14,3,2019-11-18,23-299,MIN,@,UTA,W (+10),0,12:55,1,2,.500,0,0,,1,1,1.000,0,3,3,0,0,0,0,0,3,2.9,+2
15,4,2019-11-20,23-301,MIN,,UTA,L (-8),0,4:06,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,1.7,-3
16,5,2019-11-23,23-304,MIN,,PHO,L (-2),0,37:06,9,18,.500,3,10,.300,1,2,.500,0,4,4,2,0,0,1,4,22,12.6,+3
17,6,2019-11-25,23-306,MIN,@,ATL,W (+12),0,23:57,5,8,.625,2,4,.500,1,3,.333,2,3,5,0,1,2,0,0,13,13.3,+10
18,7,2019-11-27,23-308,MIN,@,SAS,W (+12),0,25:40,6,9,.667,4,6,.667,0,0,,2,2,4,0,1,0,0,1,16,14.7,+8
19,8,2019-12-01,23-312,MIN,,MEM,L (-8),0,25:01,4,7,.571,2,2,1.000,0,0,,0,5,5,1,1,0,2,2,10,7.1,+2
20,9,2019-12-04,23-315,MIN,@,DAL,L (-7),0,21:15,3,3,1.000,2,2,1.000,0,0,,0,2,2,0,0,0,0,0,8,7.7,-23
21,10,2019-12-06,23-317,MIN,@,OKC,L (-12),0,18:41,0,7,.000,0,4,.000,0,0,,0,1,1,1,0,0,0,1,0,-4.3,-16
22,11,2019-12-08,23-319,MIN,@,LAL,L (-17),0,17:18,4,5,.800,2,3,.667,1,2,.500,0,2,2,3,0,2,0,0,11,12.8,+9
23,12,2019-12-09,23-320,MIN,@,PHO,L (-16),0,22:39,1,4,.250,0,0,,0,0,,1,4,5,1,0,0,0,2,2,1.4,-1
24,,2019-12-11,23-322,MIN,,UTA,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,13,2019-12-13,23-324,MIN,,LAC,L (-7),0,11:01,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-10
26,14,2019-12-18,23-329,MIN,,NOP,L (-8),0,18:33,1,6,.167,0,2,.000,1,2,.500,0,4,4,0,1,0,0,0,3,1.0,-15
27,15,2019-12-20,23-331,MIN,@,DEN,L (-9),0,18:53,4,8,.500,1,4,.250,0,1,.000,1,1,2,0,0,0,0,0,9,5.6,-14
28,16,2019-12-21,23-332,MIN,@,POR,L (-7),0,17:43,1,4,.250,1,2,.500,2,2,1.000,0,1,1,0,1,1,0,2,5,3.8,-8
