Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
53,53,2017-02-11,24-062,MIL,@,IND,W (+16),0,36:10,5,14,.357,2,6,.333,5,6,.833,0,3,3,3,0,0,0,2,17,11.0,+24
54,54,2017-02-13,24-064,MIL,,DET,W (+13),0,20:43,2,6,.333,0,0,,3,3,1.000,1,0,1,5,1,0,0,1,7,8.4,+2
55,55,2017-02-15,24-066,MIL,@,BRK,W (+4),0,15:56,1,3,.333,1,1,1.000,5,6,.833,0,2,2,4,1,0,3,1,8,6.9,+8
56,56,2017-02-24,24-075,MIL,,UTA,L (-14),0,22:24,2,6,.333,1,3,.333,3,3,1.000,0,1,1,4,0,0,1,3,8,5.5,-8
57,57,2017-02-26,24-077,MIL,,PHO,W (+4),0,23:50,6,9,.667,1,3,.333,2,2,1.000,0,0,0,7,2,0,2,3,15,14.8,+6
58,58,2017-02-27,24-078,MIL,@,CLE,L (-7),0,31:13,8,15,.533,3,7,.429,1,3,.333,0,3,3,5,1,0,2,2,20,14.5,0
59,59,2017-03-01,24-080,MIL,,DEN,L (-12),1,33:54,7,16,.438,2,3,.667,1,1,1.000,1,1,2,3,3,0,1,1,17,13.3,-9
60,60,2017-03-03,24-082,MIL,,LAC,W (+11),1,23:37,4,8,.500,4,5,.800,0,0,,0,3,3,0,0,0,1,3,12,6.7,-11
61,61,2017-03-04,24-083,MIL,,TOR,W (+7),1,41:32,6,13,.462,0,4,.000,5,6,.833,1,4,5,3,0,0,1,1,17,12.5,+7
62,62,2017-03-06,24-085,MIL,@,PHI,W (+14),1,20:49,6,7,.857,1,1,1.000,0,0,,1,4,5,1,1,1,2,0,13,12.8,+10
63,63,2017-03-08,24-087,MIL,,NYK,W (+11),1,22:19,1,8,.125,0,3,.000,2,2,1.000,1,0,1,3,1,0,1,1,4,1.2,-7
64,,2017-03-10,24-089,MIL,,IND,W (+14),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
65,,2017-03-11,24-090,MIL,,MIN,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
66,64,2017-03-13,24-092,MIL,@,MEM,L (-20),0,32:23,5,10,.500,3,5,.600,2,2,1.000,2,0,2,8,1,1,3,4,15,14.1,-7
67,65,2017-03-15,24-094,MIL,@,LAC,W (+1),1,25:41,5,10,.500,1,3,.333,0,0,,0,2,2,5,1,0,0,2,11,10.3,-9
68,66,2017-03-17,24-096,MIL,@,LAL,W (+4),1,31:35,2,7,.286,0,4,.000,2,2,1.000,0,5,5,2,2,0,2,3,6,3.6,-9
69,67,2017-03-18,24-097,MIL,@,GSW,L (-25),1,40:33,6,13,.462,2,6,.333,4,4,1.000,1,3,4,3,1,1,0,2,18,15.9,-15
70,68,2017-03-21,24-100,MIL,@,POR,W (+3),1,25:53,4,6,.667,0,2,.000,0,0,,1,6,7,4,1,0,1,3,8,9.5,0
71,69,2017-03-22,24-101,MIL,@,SAC,W (+18),1,29:15,5,8,.625,2,4,.500,0,0,,0,1,1,4,1,0,2,2,12,9.7,+11
72,70,2017-03-24,24-103,MIL,,ATL,W (+3),1,35:19,6,14,.429,1,4,.250,1,1,1.000,1,2,3,7,0,0,3,3,14,8.6,-8
73,71,2017-03-26,24-105,MIL,,CHI,L (-15),1,30:13,5,12,.417,0,1,.000,4,4,1.000,3,1,4,4,2,0,1,1,14,13.4,-11
74,72,2017-03-28,24-107,MIL,@,CHO,W (+10),1,29:06,6,7,.857,2,2,1.000,0,0,,0,3,3,10,1,0,1,1,14,19.0,+12
75,73,2017-03-29,24-108,MIL,@,BOS,W (+3),1,28:43,7,12,.583,0,1,.000,2,2,1.000,0,4,4,9,1,1,0,4,16,18.0,-10
76,,2017-03-31,24-110,MIL,,DET,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
77,,2017-04-02,24-112,MIL,,DAL,L (-4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
78,,2017-04-04,24-114,MIL,@,OKC,L (-31),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
79,,2017-04-06,24-116,MIL,@,IND,L (-15),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
80,,2017-04-08,24-118,MIL,@,PHI,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,74,2017-04-10,24-120,MIL,,CHO,W (+10),1,25:16,2,6,.333,1,3,.333,0,0,,1,3,4,3,0,0,3,0,5,2.3,+19
82,75,2017-04-12,24-122,MIL,@,BOS,L (-18),1,23:19,5,10,.500,1,2,.500,0,0,,2,3,5,3,1,1,0,0,11,12.1,+1
1,1,2017-10-18,24-311,MIL,@,BOS,W (+8),1,41:26,6,10,.600,3,5,.600,4,4,1.000,0,1,1,4,0,0,2,2,19,14.7,+10
2,2,2017-10-20,24-313,MIL,,CLE,L (-19),1,33:37,6,12,.500,4,9,.444,0,0,,0,2,2,1,2,0,2,2,16,10.5,-15
