Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
46,40,2023-01-20,19-245,SAS,,LAC,L (-5),1,31:34,6,10,.600,2,2,1.000,2,2,1.000,4,2,6,2,0,0,0,2,16,15.4,-13
47,41,2023-01-23,19-248,SAS,@,POR,L (-20),1,27:40,5,11,.455,2,2,1.000,6,8,.750,4,2,6,4,0,1,1,0,18,17.4,-11
48,42,2023-01-25,19-250,SAS,@,LAL,L (-9),1,26:37,6,14,.429,1,4,.250,1,1,1.000,3,4,7,3,1,0,3,2,14,9.2,-3
49,,2023-01-26,19-251,SAS,@,LAC,L (-38),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,43,2023-01-28,19-253,SAS,,PHO,L (-10),1,39:33,11,25,.440,3,6,.500,5,5,1.000,3,5,8,5,0,0,3,4,30,19.4,-3
51,44,2023-01-30,19-255,SAS,,WAS,L (-21),1,27:10,7,13,.538,1,3,.333,2,3,.667,0,2,2,5,0,0,1,4,17,11.8,-9
52,45,2023-02-01,19-257,SAS,,SAC,L (-10),1,6:49,0,4,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-2.5,-3
53,,2023-02-03,19-259,SAS,,PHI,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2023-02-06,19-262,SAS,@,CHI,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2023-02-08,19-264,SAS,@,TOR,L (-14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
56,,2023-02-10,19-266,SAS,@,DET,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,46,2023-02-11,19-267,SAS,@,ATL,L (-19),1,21:20,7,15,.467,2,7,.286,2,2,1.000,1,8,9,5,1,1,1,0,18,17.6,-5
58,47,2023-02-13,19-269,SAS,@,CLE,L (-8),1,27:12,4,12,.333,0,2,.000,2,2,1.000,3,1,4,2,0,0,2,1,10,4.6,-5
59,48,2023-02-15,19-271,SAS,@,CHO,L (-10),1,32:08,3,12,.250,0,1,.000,0,0,,2,3,5,2,1,2,3,4,6,0.3,-12
60,,2023-02-23,19-279,SAS,@,DAL,L (-26),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,49,2023-02-25,19-281,SAS,@,UTA,L (-16),1,32:00,8,18,.444,1,4,.250,5,7,.714,3,3,6,2,0,0,1,1,22,14.8,-3
62,50,2023-02-28,19-284,SAS,@,UTA,W (+8),1,27:42,4,10,.400,0,0,,5,8,.625,0,6,6,6,0,0,1,4,13,9.8,+10
63,51,2023-03-02,19-286,SAS,,IND,W (+11),1,31:19,11,26,.423,0,3,.000,0,0,,6,7,13,3,2,0,1,1,22,17.2,+10
64,52,2023-03-04,19-288,SAS,,HOU,L (-12),1,29:15,5,13,.385,0,5,.000,4,4,1.000,1,5,6,1,2,1,2,1,14,10.1,-9
65,,2023-03-05,19-289,SAS,@,HOU,L (-32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,53,2023-03-10,19-294,SAS,,DEN,W (+8),1,32:25,9,16,.563,0,3,.000,1,1,1.000,2,6,8,3,1,0,4,1,19,13.3,-4
67,,2023-03-12,19-296,SAS,,OKC,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,54,2023-03-14,19-298,SAS,,ORL,W (+18),1,31:58,11,19,.579,3,6,.500,4,6,.667,1,10,11,2,1,0,3,4,29,20.8,+18
69,,2023-03-15,19-299,SAS,,DAL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,55,2023-03-17,19-301,SAS,,MEM,L (-6),1,8:22,1,1,1.000,1,1,1.000,0,0,,0,3,3,1,0,0,1,2,3,2.5,+3
