Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
31,,2019-12-18,24-081,CHO,@,CLE,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2019-12-21,24-084,CHO,,UTA,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2019-12-22,24-085,CHO,@,BOS,L (-26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2019-12-27,24-090,CHO,,OKC,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2019-12-29,24-092,CHO,@,MEM,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2019-12-31,24-094,CHO,,BOS,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2020-01-02,24-096,CHO,@,CLE,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2020-01-04,24-098,CHO,@,DAL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2020-01-06,24-100,CHO,,IND,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,,2020-01-08,24-102,CHO,,TOR,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2020-01-10,24-104,CHO,@,UTA,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2020-01-12,24-106,CHO,@,PHO,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2020-01-13,24-107,CHO,@,POR,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2020-01-15,24-109,CHO,@,DEN,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,2020-01-20,24-114,CHO,,ORL,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2020-01-24,24-118,CHO,,MIL,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,2020-01-28,24-122,CHO,,NYK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,,2020-01-30,24-124,CHO,@,WAS,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2020-02-01,24-126,CHO,@,SAS,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2020-02-03,24-128,CHO,,ORL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2020-02-04,24-129,CHO,@,HOU,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,6,2020-02-08,24-133,CHO,,DAL,L (-16),0,22:55,0,1,.000,0,0,,0,0,,0,4,4,1,0,0,0,2,0,0.4,-8
53,7,2020-02-10,24-135,CHO,@,DET,W (+11),0,19:32,2,7,.286,1,3,.333,0,0,,1,0,1,0,1,0,1,3,5,0.4,+1
54,8,2020-02-12,24-137,CHO,@,MIN,W (+7),1,25:05,3,7,.429,1,2,.500,1,2,.500,0,3,3,1,1,0,0,5,8,4.5,+6
55,,2020-02-20,24-145,CHO,@,CHI,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,9,2020-02-22,24-147,CHO,,BRK,L (-29),0,7:38,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,1,0,0.3,-7
57,10,2020-02-25,24-150,CHO,@,IND,L (-39),0,26:19,4,10,.400,3,4,.750,0,0,,1,2,3,2,0,1,2,1,11,6.6,-11
58,11,2020-02-26,24-151,CHO,,NYK,W (+6),0,13:50,2,4,.500,1,3,.333,0,0,,1,1,2,0,0,0,1,1,5,2.6,-6
59,12,2020-02-28,24-153,CHO,@,TOR,W (+3),0,11:39,0,1,.000,0,0,,0,0,,2,3,5,3,0,1,0,2,0,3.6,+8
60,13,2020-03-01,24-155,CHO,,MIL,L (-8),0,23:30,2,6,.333,1,2,.500,0,0,,1,3,4,1,1,0,1,3,5,2.7,+13
61,14,2020-03-03,24-157,CHO,,SAS,L (-1),0,26:31,5,9,.556,2,4,.500,0,0,,2,1,3,1,1,0,2,2,12,8.3,+8
62,15,2020-03-05,24-159,CHO,,DEN,L (-2),0,14:18,2,3,.667,1,1,1.000,3,4,.750,0,0,0,0,0,0,1,0,8,5.3,-8
63,16,2020-03-07,24-161,CHO,,HOU,W (+9),0,22:08,2,4,.500,2,3,.667,0,0,,0,0,0,2,0,1,2,3,6,2.9,-4
64,17,2020-03-09,24-163,CHO,@,ATL,L (-5),0,36:31,8,10,.800,5,6,.833,2,2,1.000,0,0,0,4,3,2,0,6,23,24.0,+2
65,18,2020-03-11,24-165,CHO,@,MIA,W (+11),0,35:00,4,12,.333,3,6,.500,8,8,1.000,1,6,7,3,4,0,1,0,19,19.8,+15
1,,2020-12-23,25-086,CHO,@,CLE,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,2020-12-26,25-089,CHO,,OKC,L (-2),0,15:23,4,8,.500,1,2,.500,1,1,1.000,0,1,1,0,2,0,1,1,10,6.9,+7
3,2,2020-12-27,25-090,CHO,,BRK,W (+2),0,4:45,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-0.1,-2
4,3,2020-12-30,25-093,CHO,@,DAL,W (+19),0,14:21,2,3,.667,0,0,,0,2,.000,1,3,4,4,1,0,0,1,4,6.9,+15
5,4,2021-01-01,25-095,CHO,,MEM,L (-15),0,22:45,6,9,.667,2,4,.500,0,0,,0,2,2,2,1,0,1,0,14,12.1,0
6,5,2021-01-02,25-096,CHO,@,PHI,L (-15),0,19:06,3,7,.429,1,3,.333,2,2,1.000,1,4,5,2,1,0,0,1,9,9.2,0
7,6,2021-01-04,25-098,CHO,@,PHI,L (-17),0,17:24,2,4,.500,0,2,.000,3,5,.600,2,1,3,2,0,1,3,0,7,5.0,0
8,7,2021-01-06,25-100,CHO,@,ATL,W (+8),0,14:49,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,0,1,1,2,-1.5,-5
9,8,2021-01-08,25-102,CHO,@,NOP,W (+8),0,11:22,2,4,.500,0,1,.000,0,0,,2,1,3,0,1,0,0,1,4,4.3,-1
10,9,2021-01-09,25-103,CHO,,ATL,W (+8),0,17:17,6,9,.667,3,4,.750,0,1,.000,0,2,2,2,1,0,0,0,15,13.7,+6
11,10,2021-01-11,25-105,CHO,,NYK,W (+21),0,14:49,2,3,.667,1,2,.500,0,0,,0,0,0,2,0,0,0,0,5,5.1,-2
12,11,2021-01-13,25-107,CHO,,DAL,L (-11),0,14:51,3,9,.333,0,5,.000,0,0,,1,4,5,1,1,2,1,1,6,4.5,-2
