Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
14,14,1981-12-13,24-101,PHI,@,MIL,L (-19),0,27:00,5,6,.833,0,0,,1,2,.500,,,3,0,0,0,3,3,11,
15,15,1981-12-16,24-104,PHI,,NYK,L (-2),0,29:00,2,6,.333,0,1,.000,2,4,.500,0,4,4,1,,1,,1,6,
16,16,1981-12-27,24-115,PHI,@,PHO,L (-3),0,14:00,2,4,.500,0,0,,1,4,.250,3,2,5,0,0,0,1,5,5,1.5
17,17,1981-12-29,24-117,PHI,@,GSW,W (+7),0,2:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7
18,18,1981-12-30,24-118,PHI,@,SEA,W (+3),1,17:00,4,6,.667,0,0,,0,1,.000,0,3,3,1,0,0,2,3,8,3.4
19,19,1982-01-01,24-120,PHI,@,POR,W (+15),1,22:00,3,8,.375,0,0,,3,4,.750,2,1,3,1,1,1,0,2,9,7.5
20,20,1982-01-02,24-121,PHI,@,UTA,W (+2),1,10:00,0,1,.000,0,0,,1,2,.500,,,3,0,,0,,1,1,
21,21,1982-01-05,24-124,PHI,@,DET,L (-23),0,19:00,2,5,.400,0,0,,4,6,.667,,,5,0,0,1,,2,8,
22,22,1982-01-06,24-125,PHI,,WSB,W (+14),1,24:00,7,11,.636,0,0,,3,3,1.000,,,8,1,,1,,1,17,
23,23,1982-01-08,24-127,PHI,@,BOS,L (-6),0,14:00,4,6,.667,0,0,,0,0,,0,2,2,0,,0,,3,8,
24,24,1982-01-09,24-128,PHI,,NJN,L (-7),1,15:00,5,9,.556,0,0,,1,2,.500,,,6,0,,0,,4,11,
25,25,1982-01-12,24-131,PHI,@,WSB,W (+3),1,21:00,3,5,.600,0,0,,0,0,,,,3,1,,0,,4,6,
26,26,1982-01-13,24-132,PHI,,MIL,L (-4),1,29:00,6,9,.667,0,0,,0,0,,1,2,3,0,0,0,0,4,12,7.8
