Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
50,,2021-04-06,20-000,NOP,@,ATL,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2021-04-07,20-001,NOP,@,BRK,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,34,2021-04-09,20-003,NOP,,PHI,W (+7),0,20:35,1,4,.250,0,1,.000,0,0,,0,2,2,4,3,1,2,2,2,3.9,+4
53,35,2021-04-11,20-005,NOP,@,CLE,W (+7),0,18:19,2,7,.286,0,3,.000,2,2,1.000,0,1,1,1,2,0,0,1,6,4.5,+10
54,36,2021-04-12,20-006,NOP,,SAC,W (+7),0,15:23,5,9,.556,1,2,.500,0,0,,1,0,1,3,1,0,2,5,11,6.5,+14
55,37,2021-04-14,20-008,NOP,,NYK,L (-10),0,20:51,1,6,.167,0,2,.000,0,0,,0,1,1,2,0,0,0,0,2,-0.1,-16
56,38,2021-04-16,20-010,NOP,@,WAS,L (-2),0,19:27,1,6,.167,1,3,.333,1,1,1.000,0,0,0,2,1,0,0,2,4,1.8,-13
57,39,2021-04-18,20-012,NOP,@,NYK,L (-10),0,12:19,1,4,.250,1,2,.500,0,0,,0,0,0,2,0,0,1,0,3,1.0,-8
58,40,2021-04-20,20-014,NOP,,BRK,L (-5),0,18:46,4,8,.500,3,6,.500,0,0,,0,1,1,4,0,0,1,1,11,8.7,+4
59,41,2021-04-22,20-016,NOP,@,ORL,W (+35),0,23:23,2,11,.182,0,4,.000,2,2,1.000,1,1,2,3,0,0,1,1,6,0.8,+1
60,42,2021-04-24,20-018,NOP,,SAS,L (-2),0,16:36,2,6,.333,1,2,.500,0,0,,0,1,1,2,2,1,1,1,5,4.6,+2
61,43,2021-04-26,20-020,NOP,,LAC,W (+17),0,22:24,2,5,.400,2,3,.667,0,0,,0,3,3,3,1,1,2,4,6,4.4,+2
62,44,2021-04-28,20-022,NOP,@,DEN,L (-2),0,17:01,1,4,.250,1,2,.500,0,0,,0,1,1,1,0,1,1,2,3,0.5,-3
63,45,2021-04-29,20-023,NOP,@,OKC,W (+14),0,18:17,2,6,.333,0,2,.000,0,0,,0,0,0,2,1,0,1,1,4,1.6,+7
64,46,2021-05-01,20-025,NOP,@,MIN,W (+4),0,16:38,1,3,.333,0,2,.000,2,2,1.000,0,2,2,4,0,0,0,3,4,4.5,-2
65,47,2021-05-03,20-027,NOP,,GSW,L (-15),0,7:05,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
66,48,2021-05-04,20-028,NOP,,GSW,W (+5),0,6:40,0,5,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-3.9,-2
67,49,2021-05-07,20-031,NOP,@,PHI,L (-2),0,21:29,5,11,.455,1,4,.250,2,2,1.000,2,2,4,4,2,0,0,4,13,12.5,+11
68,50,2021-05-09,20-033,NOP,@,CHO,W (+2),0,14:58,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,1,3,2,-0.5,-7
69,51,2021-05-10,20-034,NOP,@,MEM,L (-5),0,18:50,3,7,.429,0,2,.000,2,2,1.000,0,0,0,2,2,0,0,1,8,7.3,-10
70,52,2021-05-12,20-036,NOP,@,DAL,L (-18),0,21:59,3,10,.300,2,4,.500,5,6,.833,1,3,4,2,0,0,1,1,13,8.4,-7
71,53,2021-05-14,20-038,NOP,@,GSW,L (-3),0,28:44,2,9,.222,0,1,.000,3,3,1.000,0,5,5,2,0,0,1,6,7,1.0,+4
72,54,2021-05-16,20-040,NOP,,LAL,L (-12),0,25:53,4,6,.667,1,2,.500,3,3,1.000,0,3,3,4,1,0,2,0,12,12.1,0
1,1,2021-10-20,20-197,NOP,,PHI,L (-20),0,16:44,2,6,.333,1,2,.500,0,0,,1,3,4,5,1,0,1,1,5,6.3,+1
2,2,2021-10-22,20-199,NOP,@,CHI,L (-16),0,11:11,3,8,.375,1,3,.333,0,0,,1,1,2,3,0,0,1,0,7,4.7,-9
3,3,2021-10-23,20-200,NOP,@,MIN,L (-7),0,11:12,0,2,.000,0,2,.000,0,0,,0,0,0,2,0,0,4,0,0,-4.0,-1
4,4,2021-10-25,20-202,NOP,@,MIN,W (+9),0,9:29,0,3,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,2,0,-1.2,-14
5,5,2021-10-27,20-204,NOP,,ATL,L (-3),0,16:13,3,5,.600,0,2,.000,0,0,,0,1,1,3,0,0,1,2,6,4.3,-8
6,6,2021-10-29,20-206,NOP,,SAC,L (-4),0,14:39,1,3,.333,0,1,.000,0,0,,0,6,6,1,0,0,0,1,2,2.4,-9
7,7,2021-10-30,20-207,NOP,,NYK,L (-6),0,16:10,5,10,.500,1,2,.500,1,1,1.000,0,3,3,3,0,0,2,1,12,7.6,0
8,8,2021-11-02,20-210,NOP,@,PHO,L (-12),0,13:54,2,8,.250,0,3,.000,0,0,,0,0,0,2,0,0,2,2,4,-2.2,-5
